table,workload,threads,ops,read_frac_config,read_frac_measured,key_space,throughput_mops,p50_ns,p99_ns,p999_ns,max_ns,insert_attempts,insert_successes,remove_attempts,remove_successes,lookup_attempts,lookup_hits,wall_seconds,seed,repeat,git_sha
stub,uniform,8,1000,0.900000,0.901000,10000000,0.953289,602,128887,254862,357583,51,51,48,0,901,0,0.001049,42,0,2014b36
chaining_coarse,uniform,1,495000,0.950000,0.950061,10000000,14.369884,56,164,283,10875,12515,12383,12205,129,470280,5068,0.034447,43,1,2014b36
chaining_coarse,uniform,2,490000,0.950000,0.950031,10000000,9.805605,59,2160,17006,70625,12397,12266,12088,126,465515,5015,0.049971,43,1,2014b36
chaining_coarse,uniform,4,480000,0.950000,0.950021,10000000,4.489448,84,15592,43140,132292,12148,12017,11842,126,456010,4935,0.106917,43,1,2014b36
chaining_coarse,uniform,8,460000,0.950000,0.950033,10000000,5.336050,78,31336,85474,230542,11652,11525,11333,121,437015,4720,0.086206,43,1,2014b36
chaining_coarse,uniform,16,420000,0.950000,0.950079,10000000,6.670253,72,59889,259439,1152583,10670,10554,10297,111,399033,4376,0.062966,43,1,2014b36
chaining_fine,uniform,1,495000,0.950000,0.950061,10000000,4.331217,73,1957,9350,62042,12515,12383,12205,129,470280,5068,0.114287,43,1,2014b36
chaining_fine,uniform,2,490000,0.950000,0.950031,10000000,15.546240,70,871,3798,19666,12397,12266,12088,127,465515,5010,0.031519,43,1,2014b36
chaining_fine,uniform,4,480000,0.950000,0.950021,10000000,28.647809,72,975,3356,130833,12148,12017,11842,127,456010,4937,0.016755,43,1,2014b36
chaining_fine,uniform,8,460000,0.950000,0.950033,10000000,44.349998,92,1394,2419,23292,11652,11525,11333,121,437015,4721,0.010372,43,1,2014b36
chaining_fine,uniform,16,420000,0.950000,0.950079,10000000,46.700177,96,2246,4221,3033416,10670,10554,10297,109,399033,4385,0.008994,43,1,2014b36
cuckoo_optimistic,uniform,1,495000,0.950000,0.950061,10000000,12.713266,63,153,609,10166,12515,12383,12205,129,470280,5068,0.038936,43,1,2014b36
cuckoo_optimistic,uniform,2,490000,0.950000,0.950031,10000000,23.343291,60,186,252,18875,12397,12266,12088,127,465515,5010,0.020991,43,1,2014b36
cuckoo_optimistic,uniform,4,480000,0.950000,0.950021,10000000,42.482733,65,191,968,111833,12148,12017,11842,127,456010,4935,0.011299,43,1,2014b36
cuckoo_optimistic,uniform,8,460000,0.950000,0.950033,10000000,67.400502,68,272,435,31000,11652,11525,11333,119,437015,4726,0.006825,43,1,2014b36
cuckoo_optimistic,uniform,16,420000,0.950000,0.950079,10000000,87.298432,66,372,1216,173042,10670,10554,10297,110,399033,4383,0.004811,43,1,2014b36
cuckoo_striped,uniform,1,495000,0.950000,0.950061,10000000,11.873375,65,143,511,11000,12515,12383,12205,129,470280,5068,0.041690,43,1,2014b36
cuckoo_striped,uniform,2,490000,0.950000,0.950031,10000000,12.482062,78,2510,6626,16083,12397,12266,12088,127,465515,5010,0.039256,43,1,2014b36
cuckoo_striped,uniform,4,480000,0.950000,0.950021,10000000,10.745898,93,7447,15517,141125,12148,12017,11842,127,456010,4937,0.044668,43,1,2014b36
cuckoo_striped,uniform,8,460000,0.950000,0.950033,10000000,8.359128,106,24083,43091,83625,11652,11525,11333,121,437015,4723,0.055030,43,1,2014b36
cuckoo_striped,uniform,16,420000,0.950000,0.950079,10000000,5.670972,110,58776,119812,236000,10670,10554,10297,111,399033,4370,0.074061,43,1,2014b36
hopscotch,uniform,1,495000,0.950000,0.950061,10000000,1.035949,89,5474,44650,8792583,12515,12383,12205,129,470280,5068,0.477823,43,1,2014b36
hopscotch,uniform,2,490000,0.950000,0.950031,10000000,14.995409,50,1265,4657,16708,12397,12266,12088,127,465515,5010,0.032677,43,1,2014b36
hopscotch,uniform,4,480000,0.950000,0.950021,10000000,22.952642,50,1717,7768,31958,12148,12017,11842,126,456010,4939,0.020913,43,1,2014b36
hopscotch,uniform,8,460000,0.950000,0.950033,10000000,23.108079,54,6043,29230,76834,11652,11525,11333,121,437015,4721,0.019906,43,1,2014b36
hopscotch,uniform,16,420000,0.950000,0.950079,10000000,24.513678,61,15749,70228,270167,10670,10554,10297,111,399033,4373,0.017133,43,1,2014b36
chaining_coarse,zipfian,1,495000,0.950000,0.949592,10000000,18.540570,43,127,244,15958,12438,9707,12514,2802,470048,105159,0.026698,43,1,2014b36
chaining_coarse,zipfian,2,490000,0.950000,0.949604,10000000,13.286920,45,1127,11091,40583,12307,9635,12387,2810,465306,104539,0.036878,43,1,2014b36
chaining_coarse,zipfian,4,480000,0.950000,0.949577,10000000,5.432307,59,13702,32016,80375,12080,9395,12123,2768,455797,102297,0.088360,43,1,2014b36
chaining_coarse,zipfian,8,460000,0.950000,0.949541,10000000,6.153730,56,29944,78039,194708,11589,8979,11622,2682,436789,100350,0.074751,43,1,2014b36
chaining_coarse,zipfian,16,420000,0.950000,0.949429,10000000,8.578373,49,27506,260966,2346916,10620,8215,10620,2525,398760,90807,0.048960,43,1,2014b36
chaining_fine,zipfian,1,495000,0.950000,0.949592,10000000,13.486820,46,248,1057,16458,12438,9707,12514,2802,470048,105159,0.036702,43,1,2014b36
chaining_fine,zipfian,2,490000,0.950000,0.949604,10000000,20.633172,50,887,1662,177625,12307,9649,12387,2821,465306,103285,0.023748,43,1,2014b36
chaining_fine,zipfian,4,480000,0.950000,0.949577,10000000,38.388100,50,892,2165,131250,12080,9407,12123,2772,455797,102495,0.012504,43,1,2014b36
chaining_fine,zipfian,8,460000,0.950000,0.949541,10000000,44.441224,85,1471,9248,51250,11589,9021,11622,2747,436789,98783,0.010351,43,1,2014b36
chaining_fine,zipfian,16,420000,0.950000,0.949429,10000000,45.233440,97,3906,36404,139917,10620,8229,10620,2497,398760,91205,0.009285,43,1,2014b36
