table,workload,threads,ops,read_frac_config,read_frac_measured,key_space,throughput_mops,p50_ns,p99_ns,p999_ns,max_ns,insert_attempts,insert_successes,remove_attempts,remove_successes,lookup_attempts,lookup_hits,wall_seconds,seed,repeat,git_sha
stub,uniform,8,1000,0.900000,0.901000,10000000,4.745904,87,23990,49152,59750,51,51,48,0,901,0,0.000211,42,0,2014b36
cuckoo_optimistic,shared-prefix,1,495000,0.950000,0.950166,10000,16.520054,46,127,232,27250,12272,9406,12396,2869,470332,110633,0.029964,43,1,2014b36
cuckoo_optimistic,shared-prefix,8,460000,0.950000,0.950263,10000,83.149441,46,293,487,20250,11369,8680,11510,2722,437121,103666,0.005532,43,1,2014b36
cuckoo_optimistic,shared-prefix,1,495000,0.950000,0.950166,1000,14.724876,48,196,360,15667,12272,9332,12396,2907,470332,110015,0.033617,43,1,2014b36
cuckoo_optimistic,shared-prefix,8,460000,0.950000,0.950263,1000,84.636615,48,297,454,39333,11369,8619,11510,2769,437121,103298,0.005435,43,1,2014b36
cuckoo_optimistic,shared-prefix,1,495000,0.950000,0.950166,100,16.429217,45,136,251,6833,12272,9380,12396,2868,470332,111040,0.030129,43,1,2014b36
cuckoo_optimistic,shared-prefix,8,460000,0.950000,0.950263,100,82.052497,46,293,475,33084,11369,8672,11510,2689,437121,104033,0.005606,43,1,2014b36
cuckoo_optimistic,shared-prefix,1,495000,0.950000,0.950166,10,18.250418,42,127,225,7042,12272,9373,12396,2928,470332,110511,0.027123,43,1,2014b36
cuckoo_optimistic,shared-prefix,8,460000,0.950000,0.950263,10,91.625873,45,279,425,6500,11369,8651,11510,2723,437121,103614,0.005020,43,1,2014b36
chaining_fine,shared-prefix,1,495000,0.950000,0.950166,10000,19.006236,38,127,223,8000,12272,9406,12396,2869,470332,110633,0.026044,43,1,2014b36
chaining_fine,shared-prefix,8,460000,0.950000,0.950263,10000,57.854656,74,308,491,39500,11369,8687,11510,2720,437121,103804,0.007951,43,1,2014b36
chaining_fine,shared-prefix,1,495000,0.950000,0.950166,1000,18.640675,39,132,228,7750,12272,9332,12396,2907,470332,110015,0.026555,43,1,2014b36
chaining_fine,shared-prefix,8,460000,0.950000,0.950263,1000,57.290232,94,314,486,335667,11369,8617,11510,2752,437121,103241,0.008029,43,1,2014b36
chaining_fine,shared-prefix,1,495000,0.950000,0.950166,100,18.852205,38,128,225,5750,12272,9380,12396,2868,470332,111040,0.026257,43,1,2014b36
chaining_fine,shared-prefix,8,460000,0.950000,0.950263,100,61.042705,73,328,497,32750,11369,8665,11510,2676,437121,104171,0.007536,43,1,2014b36
chaining_fine,shared-prefix,1,495000,0.950000,0.950166,10,18.792830,38,127,228,10291,12272,9373,12396,2928,470332,110511,0.026340,43,1,2014b36
chaining_fine,shared-prefix,8,460000,0.950000,0.950263,10,57.640499,93,325,483,40834,11369,8652,11510,2726,437121,103549,0.007980,43,1,2014b36
radix_tree_coarse,shared-prefix,1,495000,0.950000,0.950166,10000,23.957506,33,119,829,8584,12272,9406,12396,2869,470332,110633,0.020662,43,1,2014b36
radix_tree_coarse,shared-prefix,8,460000,0.950000,0.950263,10000,6.296802,58,28759,62080,203333,11369,8678,11510,2727,437121,103618,0.073053,43,1,2014b36
radix_tree_coarse,shared-prefix,1,495000,0.950000,0.950166,1000,21.476607,34,125,897,9542,12272,9332,12396,2907,470332,110015,0.023048,43,1,2014b36
radix_tree_coarse,shared-prefix,8,460000,0.950000,0.950263,1000,6.076575,59,28774,62065,159083,11369,8618,11510,2760,437121,103312,0.075701,43,1,2014b36
radix_tree_coarse,shared-prefix,1,495000,0.950000,0.950166,100,20.698956,35,129,887,11458,12272,9380,12396,2868,470332,111040,0.023914,43,1,2014b36
radix_tree_coarse,shared-prefix,8,460000,0.950000,0.950263,100,5.908514,62,28871,62743,169291,11369,8666,11510,2684,437121,104086,0.077854,43,1,2014b36
radix_tree_coarse,shared-prefix,1,495000,0.950000,0.950166,10,9.717831,69,336,975,11458,12272,9373,12396,2928,470332,110511,0.050937,43,1,2014b36
radix_tree_coarse,shared-prefix,8,460000,0.950000,0.950263,10,3.567823,116,39527,106126,317917,11369,8645,11510,2723,437121,103687,0.128930,43,1,2014b36
radix_tree_fine,shared-prefix,1,495000,0.950000,0.950166,10000,23.171129,34,125,901,11250,12272,9406,12396,2869,470332,110633,0.021363,43,1,2014b36
radix_tree_fine,shared-prefix,8,460000,0.950000,0.950263,10000,88.355342,43,495,2171,10125,11369,8680,11510,2734,437121,103643,0.005206,43,1,2014b36
radix_tree_fine,shared-prefix,1,495000,0.950000,0.950166,1000,22.267875,34,127,921,12000,12272,9332,12396,2907,470332,110015,0.022229,43,1,2014b36
radix_tree_fine,shared-prefix,8,460000,0.950000,0.950263,1000,81.580780,45,501,2149,13917,11369,8619,11510,2762,437121,103362,0.005639,43,1,2014b36
radix_tree_fine,shared-prefix,1,495000,0.950000,0.950166,100,21.207280,35,157,951,11417,12272,9380,12396,2868,470332,111040,0.023341,43,1,2014b36
radix_tree_fine,shared-prefix,8,460000,0.950000,0.950263,100,82.452673,44,495,2209,13792,11369,8673,11510,2688,437121,104050,0.005579,43,1,2014b36
radix_tree_fine,shared-prefix,1,495000,0.950000,0.950166,10,11.502132,55,310,1161,13083,12272,9373,12396,2928,470332,110511,0.043035,43,1,2014b36
radix_tree_fine,shared-prefix,8,460000,0.950000,0.950263,10,53.409450,77,558,2831,21834,11369,8651,11510,2732,437121,103614,0.008613,43,1,2014b36
